,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Asau,RO,40.12,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
1,Kangaatsiaq,GL,37.65,light rain,68.3065,-53.4641,Nukissiorfiit
2,Busselton,AU,53.67,overcast clouds,-33.65,115.3333,Observatory Guest House
3,Kaitangata,NZ,68.31,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
4,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Ilulissat,GL,35.22,light snow,69.2167,-51.1,Hotel Arctic
6,Ivanava,BY,50.07,scattered clouds,52.1451,25.5365,Bed&Breakfast Valeria
10,Rikitea,PF,74.05,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Ushuaia,AR,29.57,broken clouds,-54.8,-68.3,Albatross Hotel
13,Bredasdorp,ZA,60.96,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
14,Albany,US,43.45,overcast clouds,42.6001,-73.9662,
15,Surt,LY,71.94,clear sky,31.2089,16.5887,فندق المدينة
16,Goya,AR,72.07,clear sky,-29.14,-59.2626,Apart Costanera Goya
17,Zlatoust,RU,26.15,overcast clouds,55.1711,59.6508,Bellmont
20,Hobart,AU,57.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
22,Mataura,NZ,74.08,broken clouds,-46.1927,168.8643,Ellie's Villa
23,Vestmannaeyjar,IS,42.4,broken clouds,63.4427,-20.2734,Glamping & Camping
25,Naze,JP,74.32,broken clouds,28.3667,129.4833,Shishime Hotel
26,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Vardo,NO,35.58,overcast clouds,70.3705,31.1107,Vardø Hotel AS
29,Madison,US,65.37,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
30,Jamestown,US,46.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
34,Buraydah,SA,71.19,clear sky,26.326,43.975,Mövenpick Qassim
35,Westport,US,51.91,overcast clouds,41.1415,-73.3579,The Westport Inn
36,Faya,SA,57.31,few clouds,18.3851,42.4509,شيلة نسايم
37,Goksun,TR,43.48,clear sky,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
38,Jermuk,AM,35.78,broken clouds,39.8417,45.6723,Olympia Sanatorium
39,Voyvozh,RU,27.07,overcast clouds,62.892,54.9635,Gostinitsa Yakor'
43,Kholm,RU,48.4,moderate rain,59.2667,32.85,
45,Nelson Bay,AU,72.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
46,Mayo,US,58.03,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
47,Plessisville,CA,36.37,overcast clouds,46.2186,-71.762,Motel le Phare
48,Licata,IT,66.24,clear sky,37.1071,13.9461,Villa Giuliana
49,De Pere,US,50.92,clear sky,44.4489,-88.0604,Super 8 by Wyndham Green Bay Near Stadium
50,Yambio,SS,68.07,light rain,4.5721,28.3955,Naivasha Hotel
51,Muroto,JP,64.06,clear sky,33.2833,134.15,Oota Ryokan
52,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
53,Port Lincoln,AU,61.12,few clouds,-34.7333,135.8667,Port Lincoln Hotel
