City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asau,RO,46.4333,26.4,40.12,84,95,5.68,overcast clouds
1,Kangaatsiaq,GL,68.3065,-53.4641,37.65,96,100,5.86,light rain
2,Busselton,AU,-33.65,115.3333,53.67,74,100,12.82,overcast clouds
3,Kaitangata,NZ,-46.2817,169.8464,68.31,59,77,6.15,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,66.11,76,0,10.36,clear sky
5,Ilulissat,GL,69.2167,-51.1,35.22,100,100,3.4,light snow
6,Ivanava,BY,52.1451,25.5365,50.07,93,32,6.67,scattered clouds
7,Kavaratti,IN,10.5669,72.642,81.43,63,37,8.1,scattered clouds
8,Alofi,NU,-19.0595,-169.9187,77.13,76,100,17.58,overcast clouds
9,Morondava,MG,-20.2833,44.2833,76.41,72,56,5.32,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,74.05,78,99,10.56,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,29.57,92,73,2.64,broken clouds
12,Clyde River,CA,70.4692,-68.5914,14.23,79,100,20.71,light snow
13,Bredasdorp,ZA,-34.5322,20.0403,60.96,81,99,10.98,overcast clouds
14,Albany,US,42.6001,-73.9662,43.45,71,99,0.87,overcast clouds
15,Surt,LY,31.2089,16.5887,71.94,69,10,12.15,clear sky
16,Goya,AR,-29.14,-59.2626,72.07,39,0,7.14,clear sky
17,Zlatoust,RU,55.1711,59.6508,26.15,79,98,1.23,overcast clouds
18,Sorong,ID,-0.8833,131.25,82.83,71,98,2.77,overcast clouds
19,Butaritari,KI,3.0707,172.7902,81.68,72,41,15.68,scattered clouds
20,Hobart,AU,-42.8794,147.3294,57.25,63,75,8.05,broken clouds
21,Sindou,BF,10.6667,-5.1667,76.75,41,5,2.8,clear sky
22,Mataura,NZ,-46.1927,168.8643,74.08,46,74,3.18,broken clouds
23,Vestmannaeyjar,IS,63.4427,-20.2734,42.4,78,56,13.91,broken clouds
24,Neryungri,RU,56.6709,124.6491,7.39,90,59,2.17,broken clouds
25,Naze,JP,28.3667,129.4833,74.32,76,62,20.76,broken clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,57,5.01,broken clouds
27,Vardo,NO,70.3705,31.1107,35.58,87,100,19.57,overcast clouds
28,Dikson,RU,73.5069,80.5464,19.92,94,100,3.98,overcast clouds
